Institution,Tier
Institution Name,Tier
Jawaharlal Nehru Technological University Anantapur (JNTU),Tier2
Jawaharlal Nehru Technological University Kakinada (JNTU Kakinada),Tier2
Jaypee Institute of Information Technology,Tier2
Jaypee University of Information Technology,Tier2
Junagadh Agricultural University (JAU),Tier2
Kalinga Institute of Industrial Technology (KIIT),Tier2
Kameshwar Singh Darbhanga Sanskrit University (KSDSU),Tier2
Kannada University,Tier2
Kumaun University,Tier2
Kannur University,Tier2
Karnataka State Women's University,Tier2
Karpagam Academy of Higher Education,Tier2
Kavikulguru Kalidas Sanskrit University (KKSU),Tier2
Kerala Agricultural University (KAU),Tier2
Kuvempu University,Tier2
Lalit Narayan Mithila University (LNMU),Tier2
Lingaya University,Tier2
LNM Institute of Information Technology (LNMIIT),Tier2
Maharaja Sayajirao University of Baroda,Tier2
Maharishi Markandeshwar Education Trust,Tier2
Malaviya National Institute of Technology Jaipur (MNIT),Tier2
Mangalore University (MU),Tier2
Maharaja Krishnakumarsinhji Bhavnagar University,Tier2
"Maharaja Ranjit Singh Punjab Technical University, Bathinda (MRSPTU)",Tier2
"Maharana Pratap University of Agriculture and Technology, Udaipur",Tier2
Maharashtra Animal & Fishery Sciences University (MAFSU),Tier2
"Maharashtra University of Health Sciences (MUHS), Nahsik",Tier2
"Maharishi Markandeshwar University, Sadopur-Ambala (MMU Sadopur)",Tier2
"Maharshi Dayanand Saraswati University, Ajmer",Tier2
"Maharshi Dayanand University (M.D. University), Rohtak",Tier2
"Mahatma Gandhi Central University (MGCU), Patna",Tier2
Mahatma Gandhi Kashi Vidyapeeth (also known as Mahatma Gandhi Kashi Vidyapith),Tier2
"Mahatma Gandhi University, Nalgonda",Tier2
"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",Tier2
Manav Bharti University,Tier2
Manonmaniam Sundaranar University,Tier2
"Maulana Abul Kalam Azad University of Technology, West Bengal",Tier2
MGM Institute of Health Sciences,Tier2
Mohanlal Sukhadia University,Tier2
"Motilal Nehru National Institutie of Technology, Allahabad",Tier2
"Mother Teresa Women's University, Kodaikanal",Tier2
Nagaland University,Tier2
National Dairy Research Institute (NDRI),Tier2
National Institute of Fashion Technology (NIFT),Tier2
"National Law Institute University, Bhopal",Tier2
"National Law University, Jodhpur",Tier2
"National Museum Institute of History of Art, Conservation and Museology (NMIHACM)",Tier2
National Brain Research Centre,Tier2
National Institute of Foundry and Forge Technology,Tier2
National Institute of Mental Health and Neuro Sciences,Tier2
National Institute of Pharmaceutical Education and Research,Tier2
